csv_idx	CSD Reference Code	Compound Name	GWBSE_EsC	GWBSE_EtC	GW_QP_BandGap	GWBSE_DeltaEstC	SF Driving Force	GapC	ETC	DFC	VBdispC	CBdispC	Hab	GapS	ETS	DFS	IPS	EAS	PolarTensorS	AtomNumC	RhoC	EpsilonC	MolWtS	Relexation Package	DFT Descriptor Calculation K-Grid	GW Coarse K-point Grid	BSE Fine K-point Grid	Singlet_binding	Triplet_binding
0	AZOXOF	Terrylene	1.8099846	1.1603497	2.02	0.6496348999999999	-0.5107	1.1468	0.97941	0.81202	0.07855	0.14334	0.022147	1.26009	1.06759726	-0.8751045200000003	6.0314287719993445	1.64136106	943.979	184	0.87154692436083	3.656342	376.458	FHI-aims				0.21001540000000007	0.8596503
1	BEGJOO	8,9-bis(4-methylphenyl)-10-phenylpentaleno[1,2-a]naphthalene	1.7088843	1.0733927	2.44	0.6354915999999999	-0.43000000000000016	0.73101	0.77267281	0.8143356199999999	0.05292	0.10833	0.00971	0.9442	0.82195565	-0.6997113	6.021364586005802	1.82853493	1181.28	248	0.77056788	3.189249218085	458.604	FHI-aims				0.7311156999999999	1.3666072999999999
2	DUPRIP	(3,6-bis(Diphenylmethylene)-1,4-cyclohexadiene)	2.2998826	1.2177359	2.56	1.0821467	-0.13558920000000008	1.20563	1.06002852	0.9144270399999999	0.15958	0.13038	0.01319	1.3665	1.05969522	-0.75289044	5.929542011996091	1.47036472	1050.438	56	0.7708237	3.16871651966185	408.544	FHI-aims				0.26011739999999994	1.3422641
3	GAFDUO	3,12-Di-t-butyl-2,2,13,13-tetramethyltetradeca-3,5,7,9,11-pentaene	3.0973095	1.7177045	3.65	1.3796050000000002	-0.33999999999999986	1.65256999999999	1.5193067	1.38604340000001	0.056	0.30578	0.00363	1.87084	1.52278631	-1.1747326200000001	6.143619296999532	0.91589798	1031.7	70	0.6173337	2.84525925406476	356.637999999999	FHI-aims				0.5526904999999998	1.9322955
4	GIWHUP	(E)-1-Cyclo-octatetraenyl-2-phenylethene	3.0700586	2.0987854	3.92	0.9712731999999997	-1.1300000000000003	1.74978	1.85423979	1.9586995800000002	0.21053	0.16834	0.0560733333333333	2.15933	1.88504718	-1.6107643599999997	6.865213558998221	0.83495542	557.577	60	0.7360961	3.17067422025928	206.288	FHI-aims				0.8499414000000001	1.8212145999999998
5	HEPFUL10	Heptafulvalene	1.8932106	1.4243104	2.91	0.4689002	-0.9554102	1.00804	1.21507003	1.4221000599999998	0.35417	0.20116	0.0386266666666667	1.50017	1.36177011	-1.2233702199999998	6.192577313999209	0.65992363	484.677	52	0.74472559	3.1956022461004	180.25	FHI-aims				1.0167894000000002	1.4856896000000002
7	IRN01	Benzo[e]dinaphtho[2,3-a;10 ,20 ,30 ,40 -ghi]fluoranthene	2.2788995	1.5289196	2.72	0.7499799	-0.7789397	1.18958	1.23175661	1.2739332199999998	0.06993	0.31119	0.02543	1.54276	1.34572487	-1.14868974	6.382321488999878	1.71591113	1067.952	208	0.86916585	3.46672777957538	426.518	FHI-aims				0.4411005000000001	1.1910804000000002
8	IRN06	7,14-Diphenylnaphtho[1,2,3,4-cde]bisanthene	1.7476638	1.0815832	2.04	0.6660805999999999	-0.4155026	0.69081	0.6451524790027179	0.5994949580054357	0.120769999999999	0.0532999999999999	0.00208666666666667	1.17029	0.96332227	-0.75635454	5.813058589999855	1.76315365	1437.991	560	0.86210627	3.43160750980663	576.698000000001	FHI-aims				0.29233620000000005	0.9584168
9	IRN07	7,16- diphenylnaphtho[1,2,3,4-cde]helianthrene	2.8996544	1.9945032	3.41	0.9051512000000002	-1.089352	0.97197	0.86932662	0.7666832400000001	0.10745	0.08557	0.04908	2.0724	1.8243937	-1.5763873999999998	6.329779968000366	1.16174555	1459.009	148	0.79322613	3.131715	580.73	FHI-aims				0.5103456	1.4154968
10	TETCEN-P1	P1 Tetracene Polymorph	2.2922455	1.329857	2.98	0.9623884999999999	-0.3674685	1.11831	1.21310131	1.3078926200000003	0.33055	0.34119	0.0736933333333333	1.62484	1.32778046	-1.03072092	6.546113259002595	1.17118544	577.543	60	0.80964375	3.27525846538934	228.294	FHI-aims				0.6877545	1.650143
11	TETCEN-P2	P2 Tetracene Polymorph	2.2880564	1.354585	2.84	0.9334714	-0.4211136	1.10469	1.22038727	1.33608454	0.23133	0.35195	0.0681433333333333	1.62464	1.32661158	-1.02858316	6.546140630998707	1.17240311	577.506	60	0.80740748	3.26096817997895	228.294	FHI-aims				0.5519436	1.485415
12	TETCEN-P3	P3 Tetracene Polymorph	2.3792986	1.3311691	2.88	1.0481294999999997	-0.2830396	1.18691	1.23538073	1.28385146	0.30558	0.33079	0.0575266666666667	1.62569	1.32775864	-1.0298272800000001	6.546241028001532	1.17141433	577.533	60	0.80476615	3.24444262046146	228.294	FHI-aims				0.5007014000000001	1.5488308999999998
13	TETCEN-P4	P4 Tetracene Polymorph	2.3672531	1.3578105	2.84	1.0094426	-0.3483679	1.18372	1.21513712	1.24655424	0.20015	0.31607	0.0618866666666667	1.62573	1.32777383	-1.02981766	6.5463223379993	1.17144842	577.532	60	0.80479414	3.24910370444793	228.294	FHI-aims				0.47274689999999975	1.4821894999999998
14	TETCEN-P5	P5 Tetracene Polymorph	2.440356	1.3672825	2.79	1.0730735	-0.294209	1.14303	1.26926876	1.3955075200000002	0.28255	0.25077	0.0537566666666667	1.62591	1.32805383	-1.03019766	6.546862428000168	1.17195982	577.591	60	0.80194369	3.23164926401731	228.294	FHI-aims				0.34964400000000007	1.4227175
15	TETCEN-P6	P6 Tetracene Polymorph	2.3149186	1.3326824	2.98	0.9822362	-0.3504462	1.08413	1.21006697	1.33600394	0.35702	0.33048	0.0754166666666667	1.62582	1.32787039	-1.0299207799999999	6.546185608000087	1.17116872	577.525	60	0.79829199	3.21888010901495	228.294	FHI-aims				0.6650814	1.6473176
17	TETCEN-T2	T2 Tetracene Polymorph	2.3228429	1.3134097	3.0	1.0094332	-0.3039765	1.11434	1.19356714	1.27279428	0.40356	0.35657	0.07665	1.62452	1.32648293	-1.0284458600000002	6.545813476997864	1.17215643	577.532	60	0.80048616	3.232333499301	228.294	FHI-aims				0.6771571000000001	1.6865903
